source node,target node,highlight_words
STAT 230-00 - Applied Regression Analysis,PHYS 235-52 - Electricity & Magnetism & Lab,equations linear
PHYS 235-52 - Electricity & Magnetism & Lab,STAT 230-00 - Applied Regression Analysis,linear equations
STAT 230-00 - Applied Regression Analysis,MATH 111-00 - Introduction to Calculus,fundamental model
MATH 111-00 - Introduction to Calculus,STAT 230-00 - Applied Regression Analysis,model fundamental
STAT 250-00 - Intro to Statistical Inference,STAT 320-00 - Time Series Analysis,univariate parameter
STAT 320-00 - Time Series Analysis,STAT 250-00 - Intro to Statistical Inference,parameter univariate
STAT 250-00 - Intro to Statistical Inference,MATH 342-00 - Abstract Algebra I,polynomials mathematical
MATH 342-00 - Abstract Algebra I,STAT 250-00 - Intro to Statistical Inference,mathematical polynomials
STAT 250-00 - Intro to Statistical Inference,ENTS 120-52 - Introduction to Geospatial Analysis & Lab,data
ENTS 120-52 - Introduction to Geospatial Analysis & Lab,STAT 250-00 - Intro to Statistical Inference,data
STAT 320-00 - Time Series Analysis,STAT 250-00 - Intro to Statistical Inference,parameter univariate
STAT 250-00 - Intro to Statistical Inference,STAT 320-00 - Time Series Analysis,univariate parameter
STAT 320-00 - Time Series Analysis,MATH 342-00 - Abstract Algebra I,factorization matrix
MATH 342-00 - Abstract Algebra I,STAT 320-00 - Time Series Analysis,matrix factorization
THEA 110-00 - Beginning Acting,CAMS 110-00 - Introduction to Cinema and Media Studies,stylistic fundamental
CAMS 110-00 - Introduction to Cinema and Media Studies,THEA 110-00 - Beginning Acting,fundamental stylistic
THEA 110-00 - Beginning Acting,CAMS 265-00 - Sound Design,film improvisational
CAMS 265-00 - Sound Design,THEA 110-00 - Beginning Acting,improvisational film
THEA 110-00 - Beginning Acting,PSYC 354-00 - Counseling Psychology,fundamental
PSYC 354-00 - Counseling Psychology,THEA 110-00 - Beginning Acting,fundamental
THEA 185-00 - The Speaking Voice,HIST 347-00 - The Global Cold War,perspective thinking
HIST 347-00 - The Global Cold War,THEA 185-00 - The Speaking Voice,thinking perspective
THEA 185-00 - The Speaking Voice,ARTH 216-00 - Revolutionary Image Regimes: Curating Middle Eastern Photographs and Prints after the Digital Turn,social thinking
ARTH 216-00 - Revolutionary Image Regimes: Curating Middle Eastern Photographs and Prints after the Digital Turn,THEA 185-00 - The Speaking Voice,thinking social
THEA 185-00 - The Speaking Voice,CAMS 214-00 - Film History III,moreover public
CAMS 214-00 - Film History III,THEA 185-00 - The Speaking Voice,public moreover
THEA 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),ENGL 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),theatrical
ENGL 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),THEA 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),theatrical
THEA 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),THEA 309-00 - Project Course (Shakespeare's Twelfth Night),theatrical play
THEA 309-00 - Project Course (Shakespeare's Twelfth Night),THEA 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),play theatrical
THEA 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),"MUSC 217-00 - Opera: Stage, Screen, Recordng",contemporary music
"MUSC 217-00 - Opera: Stage, Screen, Recordng",THEA 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),music contemporary
THEA 226-00 - Avant-Garde Theater & Perform,CAMS 214-00 - Film History III,history social
CAMS 214-00 - Film History III,THEA 226-00 - Avant-Garde Theater & Perform,social history
THEA 226-00 - Avant-Garde Theater & Perform,MUSC 313-00 - Video Game Music,genre aesthetic
MUSC 313-00 - Video Game Music,THEA 226-00 - Avant-Garde Theater & Perform,aesthetic genre
THEA 226-00 - Avant-Garde Theater & Perform,HIST 251-00 - Japan and Europe,history social
HIST 251-00 - Japan and Europe,THEA 226-00 - Avant-Garde Theater & Perform,social history
THEA 245-00 - Directing,EDUC 385-00 - Schooling and Communities,teaching creating
EDUC 385-00 - Schooling and Communities,THEA 245-00 - Directing,creating teaching
THEA 245-00 - Directing,ARTS 230-01 - Ceramics: Throwing,creative
ARTS 230-01 - Ceramics: Throwing,THEA 245-00 - Directing,creative
THEA 245-00 - Directing,SPAN 205-00 - Conversation & Composition,mastery narrative
SPAN 205-00 - Conversation & Composition,THEA 245-00 - Directing,narrative mastery
THEA 309-00 - Project Course (Shakespeare's Twelfth Night),THEA 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),play theatrical
THEA 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),THEA 309-00 - Project Course (Shakespeare's Twelfth Night),theatrical play
THEA 309-00 - Project Course (Shakespeare's Twelfth Night),ENGL 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),play theatrical
ENGL 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),THEA 309-00 - Project Course (Shakespeare's Twelfth Night),theatrical play
THEA 309-00 - Project Course (Shakespeare's Twelfth Night),CLAS 142-00 - Being an Heir,modern
CLAS 142-00 - Being an Heir,THEA 309-00 - Project Course (Shakespeare's Twelfth Night),modern
